State,Abbreviation,RPS,Enacted,Percentage,TargetYear
Minnesota,MN,TRUE,1994,,
Arizona,AZ,TRUE,1996,,
Maine,ME,TRUE,1997,,
Massachusetts,MA,TRUE,1997,,
Nevada,NV,TRUE,1997,,
Connecticut,CT,TRUE,1998,,
Pennsylvania,PA,TRUE,1998,,
New Jersey,NJ,TRUE,1999,,
Texas,TX,TRUE,1999,,
New Mexico,NM,TRUE,2000,,
California,CA,TRUE,2002,,
Colorado,CO,TRUE,2004,,
Hawaii,HI,TRUE,2004,,
Maryland,MD,TRUE,2004,,
New York,NY,TRUE,2004,,
Rhode Island,RI,TRUE,2004,,
Delaware,DE,TRUE,2005,,
District of Columbia,DC,TRUE,2005,,
Washington,WA,TRUE,2006,,
Illinois,IL,TRUE,2007,,
New Hampshire,NH,TRUE,2007,,
North Carolina,NC,TRUE,2007,,
Oregon,OR,TRUE,2007,,
Michigan,MI,TRUE,2008,,
Missouri,MO,TRUE,2008,,
Ohio,OH,TRUE,2008,,
Indiana,IN,TRUE,2011,,
South Carolina,SC,TRUE,2014,,
Vermont,VT,TRUE,2015,,
Alabama,AL,FALSE,None,,
Alaska,AK,FALSE,None,,
Arkansas,AR,FALSE,None,,
Florida,FL,FALSE,None,,
Georgia,GA,FALSE,None,,
Idaho,ID,FALSE,None,,
Kentucky,KY,FALSE,None,,
Louisiana,LA,FALSE,None,,
Mississippi,MS,FALSE,None,,
Nebraska,NE,FALSE,None,,
Tennessee,TN,FALSE,None,,
Utah,UT,TRUE,None,,
Virginia,VA,FALSE,None,,
West Virginia,WV,FALSE,None,,
Wyoming,WY,FALSE,None,,
