observation_date,WPS051
1967-01-01,18.500
1967-02-01,18.500
1967-03-01,18.500
1967-04-01,18.500
1967-05-01,18.700
1967-06-01,18.600
1967-07-01,18.700
1967-08-01,18.900
1967-09-01,19.100
1967-10-01,18.700
1967-11-01,18.700
1967-12-01,18.900
1968-01-01,19.000
1968-02-01,19.000
1968-03-01,19.100
1968-04-01,19.100
1968-05-01,19.200
1968-06-01,19.200
1968-07-01,19.300
1968-08-01,19.400
1968-09-01,19.600
1968-10-01,19.800
1968-11-01,19.900
1968-12-01,20.200
1969-01-01,20.300
1969-02-01,20.400
1969-03-01,20.500
1969-04-01,20.400
1969-05-01,20.600
1969-06-01,20.700
1969-07-01,21.000
1969-08-01,21.100
1969-09-01,21.300
1969-10-01,21.900
1969-11-01,22.000
1969-12-01,22.300
1970-01-01,22.700
1970-02-01,23.800
1970-03-01,24.300
1970-04-01,26.200
1970-05-01,26.600
1970-06-01,27.800
1970-07-01,28.600
1970-08-01,29.100
1970-09-01,30.600
1970-10-01,32.800
1970-11-01,32.400
1970-12-01,32.400
1971-01-01,32.800
1971-02-01,33.000
1971-03-01,33.200
1971-04-01,34.100
1971-05-01,34.100
1971-06-01,34.200
1971-07-01,34.400
1971-08-01,34.600
1971-09-01,34.600
1971-10-01,34.300
1971-11-01,33.600
1971-12-01,35.400
1972-01-01,35.800
1972-02-01,36.100
1972-03-01,36.500
1972-04-01,35.400
1972-05-01,35.700
1972-06-01,35.800
1972-07-01,36.000
1972-08-01,36.300
1972-09-01,36.300
1972-10-01,36.200
1972-11-01,37.100
1972-12-01,37.700
1973-01-01,38.000
1973-02-01,38.800
1973-03-01,39.300
1973-04-01,39.800
1973-05-01,40.000
1973-06-01,40.300
1973-07-01,40.200
1973-08-01,40.500
1973-09-01,42.000
1973-10-01,42.100
1973-11-01,44.200
1973-12-01,44.100
1974-01-01,46.100
1974-02-01,47.300
1974-03-01,49.200
1974-04-01,56.800
1974-05-01,57.500
1974-06-01,60.200
1974-07-01,64.500
1974-08-01,67.400
1974-09-01,69.800
1974-10-01,74.000
1974-11-01,74.100
1974-12-01,78.900
1975-01-01,79.600
1975-02-01,77.000
1975-03-01,73.900
1975-04-01,72.800
1975-05-01,72.800
1975-06-01,72.200
1975-07-01,71.400
1975-08-01,70.800
1975-09-01,69.900
1975-10-01,69.400
1975-11-01,67.900
1975-12-01,68.500
1976-01-01,68.700
1976-02-01,69.200
1976-03-01,70.300
1976-04-01,69.300
1976-05-01,68.700
1976-06-01,68.400
1976-07-01,68.500
1976-08-01,68.700
1976-09-01,68.700
1976-10-01,68.600
1976-11-01,69.100
1976-12-01,69.400
1977-01-01,#N/A
1977-02-01,#N/A
1977-03-01,#N/A
1977-04-01,#N/A
1977-05-01,#N/A
1977-06-01,#N/A
1977-07-01,#N/A
1977-08-01,#N/A
1977-09-01,#N/A
1977-10-01,#N/A
1977-11-01,#N/A
1977-12-01,#N/A
1978-01-01,#N/A
1978-02-01,#N/A
1978-03-01,#N/A
1978-04-01,#N/A
1978-05-01,#N/A
1978-06-01,#N/A
1978-07-01,#N/A
1978-08-01,#N/A
1978-09-01,#N/A
1978-10-01,#N/A
1978-11-01,#N/A
1978-12-01,#N/A
1979-01-01,#N/A
1979-02-01,#N/A
1979-03-01,#N/A
1979-04-01,#N/A
1979-05-01,#N/A
1979-06-01,#N/A
1979-07-01,#N/A
1979-08-01,#N/A
1979-09-01,#N/A
1979-10-01,#N/A
1979-11-01,#N/A
1979-12-01,#N/A
1980-01-01,#N/A
1980-02-01,#N/A
1980-03-01,#N/A
1980-04-01,#N/A
1980-05-01,#N/A
1980-06-01,#N/A
1980-07-01,#N/A
1980-08-01,#N/A
1980-09-01,#N/A
1980-10-01,#N/A
1980-11-01,#N/A
1980-12-01,#N/A
1981-01-01,#N/A
1981-02-01,#N/A
1981-03-01,#N/A
1981-04-01,#N/A
1981-05-01,#N/A
1981-06-01,#N/A
1981-07-01,#N/A
1981-08-01,#N/A
1981-09-01,#N/A
1981-10-01,#N/A
1981-11-01,#N/A
1981-12-01,#N/A
1982-01-01,#N/A
1982-02-01,#N/A
1982-03-01,#N/A
1982-04-01,#N/A
1982-05-01,#N/A
1982-06-01,#N/A
1982-07-01,#N/A
1982-08-01,#N/A
1982-09-01,#N/A
1982-10-01,#N/A
1982-11-01,#N/A
1982-12-01,#N/A
1983-01-01,#N/A
1983-02-01,#N/A
1983-03-01,#N/A
1983-04-01,#N/A
1983-05-01,#N/A
1983-06-01,#N/A
1983-07-01,#N/A
1983-08-01,#N/A
1983-09-01,#N/A
1983-10-01,#N/A
1983-11-01,#N/A
1983-12-01,#N/A
1984-01-01,#N/A
1984-02-01,#N/A
1984-03-01,#N/A
1984-04-01,#N/A
1984-05-01,#N/A
1984-06-01,#N/A
1984-07-01,#N/A
1984-08-01,#N/A
1984-09-01,#N/A
1984-10-01,#N/A
1984-11-01,#N/A
1984-12-01,#N/A
1985-01-01,#N/A
1985-02-01,#N/A
1985-03-01,#N/A
1985-04-01,#N/A
1985-05-01,#N/A
1985-06-01,#N/A
1985-07-01,#N/A
1985-08-01,#N/A
1985-09-01,#N/A
1985-10-01,#N/A
1985-11-01,#N/A
1985-12-01,#N/A
1986-01-01,#N/A
1986-02-01,#N/A
1986-03-01,#N/A
1986-04-01,#N/A
1986-05-01,#N/A
1986-06-01,#N/A
1986-07-01,#N/A
1986-08-01,#N/A
1986-09-01,#N/A
1986-10-01,#N/A
1986-11-01,#N/A
1986-12-01,#N/A
1987-01-01,#N/A
1987-02-01,#N/A
1987-03-01,#N/A
1987-04-01,#N/A
1987-05-01,#N/A
1987-06-01,#N/A
1987-07-01,#N/A
1987-08-01,#N/A
1987-09-01,#N/A
1987-10-01,#N/A
1987-11-01,#N/A
1987-12-01,#N/A
1988-01-01,#N/A
1988-02-01,#N/A
1988-03-01,#N/A
1988-04-01,#N/A
1988-05-01,#N/A
1988-06-01,#N/A
1988-07-01,#N/A
1988-08-01,#N/A
1988-09-01,#N/A
1988-10-01,#N/A
1988-11-01,#N/A
1988-12-01,#N/A
1989-01-01,#N/A
1989-02-01,#N/A
1989-03-01,#N/A
1989-04-01,#N/A
1989-05-01,#N/A
1989-06-01,#N/A
1989-07-01,#N/A
1989-08-01,#N/A
1989-09-01,#N/A
1989-10-01,#N/A
1989-11-01,#N/A
1989-12-01,#N/A
1990-01-01,#N/A
1990-02-01,#N/A
1990-03-01,#N/A
1990-04-01,#N/A
1990-05-01,#N/A
1990-06-01,#N/A
1990-07-01,#N/A
1990-08-01,#N/A
1990-09-01,#N/A
1990-10-01,#N/A
1990-11-01,#N/A
1990-12-01,#N/A
1991-01-01,#N/A
1991-02-01,#N/A
1991-03-01,#N/A
1991-04-01,#N/A
1991-05-01,#N/A
1991-06-01,#N/A
1991-07-01,#N/A
1991-08-01,#N/A
1991-09-01,#N/A
1991-10-01,#N/A
1991-11-01,#N/A
1991-12-01,#N/A
1992-01-01,#N/A
1992-02-01,#N/A
1992-03-01,#N/A
1992-04-01,#N/A
1992-05-01,#N/A
1992-06-01,#N/A
1992-07-01,#N/A
1992-08-01,#N/A
1992-09-01,#N/A
1992-10-01,#N/A
1992-11-01,#N/A
1992-12-01,#N/A
1993-01-01,#N/A
1993-02-01,#N/A
1993-03-01,#N/A
1993-04-01,#N/A
1993-05-01,#N/A
1993-06-01,#N/A
1993-07-01,#N/A
1993-08-01,#N/A
1993-09-01,#N/A
1993-10-01,#N/A
1993-11-01,#N/A
1993-12-01,#N/A
1994-01-01,#N/A
1994-02-01,#N/A
1994-03-01,#N/A
1994-04-01,#N/A
1994-05-01,#N/A
1994-06-01,#N/A
1994-07-01,#N/A
1994-08-01,#N/A
1994-09-01,#N/A
1994-10-01,#N/A
1994-11-01,#N/A
1994-12-01,#N/A
1995-01-01,#N/A
1995-02-01,#N/A
1995-03-01,#N/A
1995-04-01,#N/A
1995-05-01,#N/A
1995-06-01,#N/A
1995-07-01,#N/A
1995-08-01,#N/A
1995-09-01,#N/A
1995-10-01,#N/A
1995-11-01,#N/A
1995-12-01,#N/A
1996-01-01,#N/A
1996-02-01,#N/A
1996-03-01,#N/A
1996-04-01,#N/A
1996-05-01,#N/A
1996-06-01,#N/A
1996-07-01,#N/A
1996-08-01,#N/A
1996-09-01,#N/A
1996-10-01,#N/A
1996-11-01,#N/A
1996-12-01,#N/A
1997-01-01,#N/A
1997-02-01,#N/A
1997-03-01,#N/A
1997-04-01,#N/A
1997-05-01,#N/A
1997-06-01,#N/A
1997-07-01,#N/A
1997-08-01,#N/A
1997-09-01,#N/A
1997-10-01,#N/A
1997-11-01,#N/A
1997-12-01,#N/A
1998-01-01,#N/A
1998-02-01,#N/A
1998-03-01,#N/A
1998-04-01,#N/A
1998-05-01,#N/A
1998-06-01,#N/A
1998-07-01,#N/A
1998-08-01,#N/A
1998-09-01,#N/A
1998-10-01,#N/A
1998-11-01,#N/A
1998-12-01,#N/A
1999-01-01,#N/A
1999-02-01,#N/A
1999-03-01,#N/A
1999-04-01,#N/A
1999-05-01,#N/A
1999-06-01,#N/A
1999-07-01,#N/A
1999-08-01,#N/A
1999-09-01,#N/A
1999-10-01,#N/A
1999-11-01,#N/A
1999-12-01,#N/A
2000-01-01,#N/A
2000-02-01,#N/A
2000-03-01,#N/A
2000-04-01,#N/A
2000-05-01,#N/A
2000-06-01,#N/A
2000-07-01,#N/A
2000-08-01,#N/A
2000-09-01,#N/A
2000-10-01,#N/A
2000-11-01,#N/A
2000-12-01,#N/A
2001-01-01,#N/A
2001-02-01,#N/A
2001-03-01,#N/A
2001-04-01,#N/A
2001-05-01,#N/A
2001-06-01,#N/A
2001-07-01,#N/A
2001-08-01,#N/A
2001-09-01,#N/A
2001-10-01,#N/A
2001-11-01,#N/A
2001-12-01,#N/A
2002-01-01,101.100
2002-02-01,100.100
2002-03-01,100.400
2002-04-01,99.000
2002-05-01,99.400
2002-06-01,99.000
2002-07-01,99.300
2002-08-01,99.500
2002-09-01,99.100
2002-10-01,99.900
2002-11-01,100.300
2002-12-01,100.100
2003-01-01,97.900
2003-02-01,97.400
2003-03-01,97.700
2003-04-01,99.100
2003-05-01,99.300
2003-06-01,100.000
2003-07-01,99.100
2003-08-01,100.400
2003-09-01,102.000
2003-10-01,102.000
2003-11-01,102.100
2003-12-01,102.200
2004-01-01,104.200
2004-02-01,106.600
2004-03-01,104.600
2004-04-01,107.900
2004-05-01,108.100
2004-06-01,108.300
2004-07-01,109.400
2004-08-01,110.100
2004-09-01,111.000
2004-10-01,112.100
2004-11-01,111.800
2004-12-01,112.900
2005-01-01,112.200
2005-02-01,112.900
2005-03-01,113.900
2005-04-01,114.600
2005-05-01,114.500
2005-06-01,114.800
2005-07-01,115.800
2005-08-01,116.800
2005-09-01,116.900
2005-10-01,118.600
2005-11-01,123.100
2005-12-01,124.100
2006-01-01,124.100
2006-02-01,123.700
2006-03-01,123.000
2006-04-01,124.100
2006-05-01,125.500
2006-06-01,126.600
2006-07-01,126.300
2006-08-01,127.600
2006-09-01,128.000
2006-10-01,127.700
2006-11-01,128.000
2006-12-01,131.000
2007-01-01,127.300
2007-02-01,127.700
2007-03-01,128.600
2007-04-01,128.600
2007-05-01,128.400
2007-06-01,129.700
2007-07-01,131.000
2007-08-01,131.500
2007-09-01,131.900
2007-10-01,132.400
2007-11-01,133.700
2007-12-01,135.500
2008-01-01,137.400
2008-02-01,138.400
2008-03-01,140.100
2008-04-01,160.300
2008-05-01,162.500
2008-06-01,163.500
2008-07-01,169.500
2008-08-01,171.500
2008-09-01,172.800
2008-10-01,174.100
2008-11-01,174.700
2008-12-01,173.500
2009-01-01,176.600
2009-02-01,182.000
2009-03-01,184.500
2009-04-01,187.100
2009-05-01,179.300
2009-06-01,179.600
2009-07-01,182.500
2009-08-01,180.300
2009-09-01,182.400
2009-10-01,183.500
2009-11-01,184.600
2009-12-01,186.500
2010-01-01,184.400
2010-02-01,184.500
2010-03-01,184.700
2010-04-01,185.800
2010-05-01,187.900
2010-06-01,189.900
2010-07-01,190.200
2010-08-01,193.200
2010-09-01,192.100
2010-10-01,193.700
2010-11-01,194.600
2010-12-01,193.600
2011-01-01,199.700
2011-02-01,203.100
2011-03-01,204.400
2011-04-01,205.900
2011-05-01,204.400
2011-06-01,206.400
2011-07-01,207.300
2011-08-01,209.700
2011-09-01,210.900
2011-10-01,211.100
2011-11-01,211.200
2011-12-01,210.400
2012-01-01,210.700
2012-02-01,209.700
2012-03-01,209.400
2012-04-01,209.100
2012-05-01,210.300
2012-06-01,211.800
2012-07-01,211.000
2012-08-01,209.000
2012-09-01,212.300
2012-10-01,212.300
2012-11-01,213.600
2012-12-01,216.300
