,Year,Average_Temp,State
0,1990,64.9,Alabama
1,1991,64.0,Alabama
2,1992,62.1,Alabama
3,1993,62.3,Alabama
4,1994,63.0,Alabama
5,1995,63.0,Alabama
6,1996,62.1,Alabama
7,1997,62.4,Alabama
8,1998,65.1,Alabama
9,1999,64.1,Alabama
10,2000,63.6,Alabama
11,2001,63.0,Alabama
12,2002,63.6,Alabama
13,2003,62.7,Alabama
14,2004,63.3,Alabama
15,2005,63.4,Alabama
16,2006,64.2,Alabama
17,2007,64.4,Alabama
18,2008,62.9,Alabama
19,2009,62.9,Alabama
20,2010,62.7,Alabama
21,2011,63.8,Alabama
22,2012,64.9,Alabama
23,2013,62.6,Alabama
24,2014,62.0,Alabama
25,2015,64.6,Alabama
26,2016,65.3,Alabama
27,2017,65.0,Alabama
28,2018,64.5,Alabama
29,2019,65.4,Alabama
30,2020,64.9,Alabama
0,1990,59.7,Arizona
1,1991,59.2,Arizona
2,1992,59.6,Arizona
3,1993,59.8,Arizona
4,1994,60.6,Arizona
5,1995,61.0,Arizona
6,1996,61.9,Arizona
7,1997,60.5,Arizona
8,1998,59.3,Arizona
9,1999,60.8,Arizona
10,2000,61.7,Arizona
11,2001,61.2,Arizona
12,2002,61.2,Arizona
13,2003,61.9,Arizona
14,2004,60.4,Arizona
15,2005,61.1,Arizona
16,2006,61.1,Arizona
17,2007,61.6,Arizona
18,2008,60.6,Arizona
19,2009,61.1,Arizona
20,2010,60.4,Arizona
21,2011,60.3,Arizona
22,2012,62.1,Arizona
23,2013,60.4,Arizona
24,2014,62.2,Arizona
25,2015,61.8,Arizona
26,2016,62.2,Arizona
27,2017,63.0,Arizona
28,2018,62.3,Arizona
29,2019,60.3,Arizona
30,2020,62.6,Arizona
0,1990,61.8,Arkansas
1,1991,61.3,Arkansas
2,1992,59.9,Arkansas
3,1993,59.3,Arkansas
4,1994,60.4,Arkansas
5,1995,60.5,Arkansas
6,1996,59.6,Arkansas
7,1997,59.7,Arkansas
8,1998,63.1,Arkansas
9,1999,62.1,Arkansas
10,2000,60.9,Arkansas
11,2001,61.2,Arkansas
12,2002,60.6,Arkansas
13,2003,60.3,Arkansas
14,2004,61.0,Arkansas
15,2005,62.0,Arkansas
16,2006,62.0,Arkansas
17,2007,61.8,Arkansas
18,2008,59.9,Arkansas
19,2009,59.9,Arkansas
20,2010,61.2,Arkansas
21,2011,61.8,Arkansas
22,2012,63.6,Arkansas
23,2013,59.6,Arkansas
24,2014,58.7,Arkansas
25,2015,61.4,Arkansas
26,2016,62.8,Arkansas
27,2017,62.5,Arkansas
28,2018,61.2,Arkansas
29,2019,61.2,Arkansas
30,2020,61.1,Arkansas
0,1990,58.0,California
1,1991,58.1,California
2,1992,59.3,California
3,1993,57.7,California
4,1994,58.0,California
5,1995,58.9,California
6,1996,59.6,California
7,1997,59.1,California
8,1998,56.7,California
9,1999,58.0,California
10,2000,58.8,California
11,2001,59.1,California
12,2002,58.8,California
13,2003,59.4,California
14,2004,58.9,California
15,2005,58.6,California
16,2006,58.6,California
17,2007,58.9,California
18,2008,58.9,California
19,2009,58.8,California
20,2010,57.7,California
21,2011,57.4,California
22,2012,59.5,California
23,2013,59.3,California
24,2014,61.4,California
25,2015,60.8,California
26,2016,60.1,California
27,2017,60.3,California
28,2018,60.1,California
29,2019,58.4,California
30,2020,60.5,California
0,1990,45.6,Colorado
1,1991,45.0,Colorado
2,1992,45.3,Colorado
3,1993,43.8,Colorado
4,1994,46.5,Colorado
5,1995,45.7,Colorado
6,1996,45.8,Colorado
7,1997,44.8,Colorado
8,1998,46.2,Colorado
9,1999,46.6,Colorado
10,2000,47.0,Colorado
11,2001,46.8,Colorado
12,2002,46.1,Colorado
13,2003,47.0,Colorado
14,2004,45.8,Colorado
15,2005,46.8,Colorado
16,2006,46.5,Colorado
17,2007,46.2,Colorado
18,2008,44.9,Colorado
19,2009,45.2,Colorado
20,2010,46.2,Colorado
21,2011,45.4,Colorado
22,2012,48.3,Colorado
23,2013,45.1,Colorado
24,2014,46.1,Colorado
25,2015,47.4,Colorado
26,2016,47.3,Colorado
27,2017,47.9,Colorado
28,2018,47.2,Colorado
29,2019,45.3,Colorado
30,2020,47.3,Colorado
0,1990,51.1,Connecticut
1,1991,51.0,Connecticut
2,1992,47.7,Connecticut
3,1993,48.6,Connecticut
4,1994,48.9,Connecticut
5,1995,49.0,Connecticut
6,1996,48.4,Connecticut
7,1997,48.6,Connecticut
8,1998,51.6,Connecticut
9,1999,50.8,Connecticut
10,2000,48.5,Connecticut
11,2001,50.2,Connecticut
12,2002,50.5,Connecticut
13,2003,48.2,Connecticut
14,2004,48.8,Connecticut
15,2005,49.5,Connecticut
16,2006,51.1,Connecticut
17,2007,49.5,Connecticut
18,2008,49.7,Connecticut
19,2009,48.8,Connecticut
20,2010,51.4,Connecticut
21,2011,50.9,Connecticut
22,2012,52.5,Connecticut
23,2013,49.8,Connecticut
