,year,coal,naturalGas,nuclear,petroleum,State
0,2020,2.36,3.65,0.67,,AL
1,2019,2.59,4.04,0.7,19.27,AL
2,2018,2.54,4.49,0.74,20.51,AL
3,2017,2.42,4.41,0.74,18.0,AL
4,2016,2.5,3.9,0.69,15.84,AL
5,2015,2.65,4.15,0.73,18.07,AL
6,2014,2.91,5.79,0.8,25.64,AL
7,2013,3.06,5.35,0.83,26.71,AL
8,2012,3.31,4.28,0.76,27.23,AL
9,2011,3.09,5.72,0.67,26.72,AL
10,2010,2.97,6.65,0.63,21.14,AL
11,2009,2.81,6.64,0.56,17.64,AL
12,2008,2.8,11.23,0.47,24.68,AL
13,2007,2.17,9.03,0.42,19.88,AL
14,2006,2.2,9.78,0.41,18.14,AL
15,2005,1.89,10.49,0.42,16.07,AL
16,2004,1.57,7.84,0.43,12.58,AL
17,2003,1.49,7.3,0.42,10.46,AL
18,2002,1.45,5.55,0.43,9.29,AL
19,2001,1.44,7.22,0.47,9.9,AL
20,2000,1.44,5.32,0.5,10.19,AL
21,1999,1.5,4.34,0.53,7.94,AL
22,1998,1.59,4.24,0.63,7.36,AL
23,1997,1.57,4.68,0.59,8.35,AL
24,1996,1.58,4.5,0.53,8.2,AL
25,1995,1.59,3.84,0.51,7.69,AL
26,1994,1.68,4.32,0.7,7.46,AL
27,1993,1.75,4.27,0.67,7.62,AL
28,1992,1.72,4.05,0.75,7.59,AL
29,1991,1.8,4.07,0.71,7.66,AL
30,1990,1.82,4.05,0.56,7.98,AL
31,1989,1.83,3.91,0.6,7.06,AL
32,1988,1.87,4.03,0.65,6.42,AL
33,1987,1.87,4.27,0.69,6.53,AL
34,1986,1.88,4.5,0.7,6.39,AL
35,1985,2.01,4.73,0.77,7.87,AL
36,1984,2.01,4.84,0.64,7.9,AL
37,1983,2.01,4.89,0.45,7.94,AL
38,1982,2.05,4.39,0.42,8.71,AL
39,1981,1.93,3.49,0.43,9.21,AL
40,1980,1.69,2.9,0.33,7.85,AL
41,1979,1.57,2.63,0.24,5.53,AL
42,1978,1.46,1.97,0.27,3.95,AL
43,1977,1.37,1.63,0.18,3.81,AL
44,1976,1.16,1.41,0.15,3.53,AL
45,1975,1.1,0.96,0.14,3.31,AL
46,1974,0.9,0.83,0.12,3.13,AL
47,1973,0.48,0.7,0.11,2.3,AL
48,1972,0.43,0.63,0.0,2.18,AL
49,1971,0.39,0.58,0.0,2.16,AL
50,1970,0.32,0.52,0.0,2.09,AL
0,2020,6.77,9.4,0.0,,AK
1,2019,6.46,8.98,0.0,20.05,AK
2,2018,6.49,8.9,0.0,21.34,AK
3,2017,6.43,8.82,0.0,17.18,AK
4,2016,6.0,7.95,0.0,15.2,AK
5,2015,5.03,7.27,0.0,18.43,AK
6,2014,4.87,6.99,0.0,26.09,AK
7,2013,4.9,6.78,0.0,26.82,AK
8,2012,4.06,6.26,0.0,27.55,AK
9,2011,3.85,6.61,0.0,26.93,AK
10,2010,3.43,6.41,0.0,20.84,AK
11,2009,3.61,7.42,0.0,17.55,AK
12,2008,3.01,6.5,0.0,25.31,AK
13,2007,2.34,5.76,0.0,18.09,AK
14,2006,2.13,4.67,0.0,16.92,AK
15,2005,2.01,3.97,0.0,14.49,AK
16,2004,1.97,3.34,0.0,11.09,AK
17,2003,2.0,3.02,0.0,8.4,AK
18,2002,1.94,2.65,0.0,7.32,AK
19,2001,1.89,2.58,0.0,7.99,AK
20,2000,1.87,1.97,0.0,8.54,AK
21,1999,2.12,1.92,0.0,6.07,AK
22,1998,2.06,2.02,0.0,5.54,AK
23,1997,2.18,2.08,0.0,6.98,AK
24,1996,2.05,1.92,0.0,7.12,AK
25,1995,2.05,1.88,0.0,6.62,AK
26,1994,2.19,1.86,0.0,6.44,AK
27,1993,3.26,1.88,0.0,6.75,AK
28,1992,3.11,1.74,0.0,6.77,AK
29,1991,3.36,1.83,0.0,6.71,AK
30,1990,3.65,1.95,0.0,7.56,AK
31,1989,1.95,1.81,0.0,6.22,AK
32,1988,2.64,1.7,0.0,5.52,AK
33,1987,2.0,1.42,0.0,5.12,AK
34,1986,3.07,1.48,0.0,4.91,AK
35,1985,2.89,1.23,0.0,7.03,AK
36,1984,2.89,1.24,0.0,7.38,AK
37,1983,2.94,1.19,0.0,7.67,AK
38,1982,3.31,0.92,0.0,8.1,AK
39,1981,3.48,0.73,0.0,8.6,AK
40,1980,1.91,0.62,0.0,7.05,AK
41,1979,1.31,1.04,0.0,5.1,AK
42,1978,1.29,1.07,0.0,3.72,AK
43,1977,1.35,1.08,0.0,3.52,AK
44,1976,1.31,0.96,0.0,3.26,AK
45,1975,1.4,0.89,0.0,3.0,AK
46,1974,1.05,0.76,0.0,2.59,AK
47,1973,1.02,0.74,0.0,1.58,AK
48,1972,0.87,0.81,0.0,1.42,AK
49,1971,0.85,0.77,0.0,1.35,AK
50,1970,0.93,0.67,0.0,1.33,AK
0,2020,2.18,3.66,0.7,,AZ
1,2019,2.57,3.63,0.73,22.66,AZ
2,2018,2.44,4.71,0.68,22.89,AZ
3,2017,2.24,5.54,0.74,19.57,AZ
4,2016,2.14,5.03,0.83,17.33,AZ
5,2015,2.08,5.5,0.77,19.89,AZ
6,2014,2.11,7.14,0.82,25.94,AZ
7,2013,2.08,6.19,0.92,26.81,AZ
8,2012,2.09,5.52,0.89,27.7,AZ
9,2011,1.99,7.45,0.82,26.56,AZ
10,2010,1.81,6.86,0.69,21.24,AZ
11,2009,1.83,6.38,0.59,17.82,AZ
12,2008,1.76,9.75,0.56,24.95,AZ
13,2007,1.61,8.44,0.57,20.7,AZ
14,2006,1.45,8.12,0.63,19.4,AZ
15,2005,1.42,8.83,0.55,17.42,AZ
16,2004,1.31,6.78,0.45,14.15,AZ
17,2003,1.28,6.39,0.42,11.91,AZ
18,2002,1.27,5.48,0.42,9.67,AZ
19,2001,1.27,6.18,0.46,10.4,AZ
20,2000,1.26,5.95,0.44,10.92,AZ
21,1999,1.35,4.95,0.45,8.53,AZ
22,1998,1.35,4.92,0.47,7.83,AZ
23,1997,1.45,4.93,0.49,9.29,AZ
24,1996,1.47,4.88,0.49,9.4,AZ
25,1995,1.42,4.63,0.49,8.52,AZ
26,1994,1.4,4.64,0.57,8.52,AZ
27,1993,1.38,4.86,0.58,8.6,AZ
28,1992,1.4,4.57,0.55,8.14,AZ
29,1991,1.43,4.58,0.7,7.81,AZ
30,1990,1.45,4.52,0.72,8.39,AZ
31,1989,1.38,3.92,0.85,7.39,AZ
32,1988,1.42,4.45,0.77,6.61,AZ
33,1987,1.33,4.1,0.82,7.01,AZ
34,1986,1.42,4.12,0.65,6.55,AZ
35,1985,1.36,4.92,0.65,8.18,AZ
36,1984,1.29,5.1,0.0,8.03,AZ
37,1983,1.31,4.99,0.0,8.13,AZ
38,1982,1.27,4.43,0.0,9.19,AZ
39,1981,1.09,3.18,0.0,9.5,AZ
40,1980,1.01,2.86,0.0,8.14,AZ
41,1979,0.91,2.4,0.0,5.43,AZ
42,1978,0.53,1.82,0.0,4.1,AZ
43,1977,0.54,1.61,0.0,3.83,AZ
44,1976,0.27,1.27,0.0,3.67,AZ
45,1975,0.23,1.01,0.0,3.45,AZ
46,1974,0.17,0.75,0.0,2.93,AZ
47,1973,0.33,0.65,0.0,2.04,AZ
48,1972,0.33,0.58,0.0,1.98,AZ
49,1971,0.25,0.58,0.0,2.05,AZ
50,1970,0.21,0.54,0.0,1.96,AZ
0,2020,1.91,5.3,0.59,,AR
1,2019,1.99,5.2,0.68,19.38,AR
