,Year,Average_Temp,State,percipitation,Abbreviation,RPS,Enacted,CoalPrice,SolarPrice,PetroleumPrice,GasPrice
0,1990,64.9,Alabama,56.87,AL,False,None,,8.805156382,20.03,
1,1991,64.0,Alabama,63.25,AL,False,None,,7.95646661,16.54,
2,1992,62.1,Alabama,59.79,AL,False,None,,7.21386306,15.99,
3,1993,62.3,Alabama,50.28,AL,False,None,,7.107776839,14.25,
4,1994,63.0,Alabama,60.33,AL,False,None,,6.365173288,13.19,
5,1995,63.0,Alabama,59.57,AL,False,None,,5.834742181,14.62,
6,1996,62.1,Alabama,58.33,AL,False,None,,6.046914624,18.46,
7,1997,62.4,Alabama,62.96,AL,False,None,,6.365173288,17.23,4.315
8,1998,65.1,Alabama,59.26,AL,False,None,,5.728655959,10.87,3.5683333333333334
9,1999,64.1,Alabama,49.01,AL,False,None,,5.092138631,15.56,3.876666666666667
10,2000,63.6,Alabama,42.49,AL,False,None,,4.879966188,26.72,7.526666666666666
11,2001,63.0,Alabama,59.04,AL,False,None,,4.773879966,21.84,5.665
12,2002,63.6,Alabama,57.13,AL,False,None,99.76666666666668,4.031276416,22.51,5.429166666666667
13,2003,62.7,Alabama,63.72,AL,False,None,99.93333333333334,3.978233305,27.56,8.579166666666667
14,2004,63.3,Alabama,59.88,AL,False,None,108.91666666666669,4.137362637,36.77,8.965833333333334
15,2005,63.4,Alabama,57.08,AL,False,None,116.51666666666668,4.243448859,50.28,13.141666666666666
16,2006,64.2,Alabama,47.54,AL,False,None,126.3,4.455621302,59.69,9.25
17,2007,64.4,Alabama,37.86,AL,False,None,130.525,4.137362637,66.52,9.614166666666668
18,2008,62.9,Alabama,53.07,AL,False,None,161.525,3.447802198,94.04,11.5625
19,2009,62.9,Alabama,73.77,AL,False,None,182.40833333333333,2.386939983,56.35,5.14
20,2010,62.7,Alabama,47.19,AL,False,None,189.55,2.04475,74.71,5.524166666666667
21,2011,63.8,Alabama,50.71,AL,False,None,207.04166666666663,1.67725,95.73,5.066666666666666
22,2012,64.9,Alabama,53.38,AL,False,None,211.29166666666663,0.876416667,94.52,3.45
23,2013,62.6,Alabama,64.7,AL,False,None,208.11666666666667,0.696333333,95.99,4.566666666666666
24,2014,62.0,Alabama,56.03,AL,False,None,199.93333333333337,0.6415,87.39,5.113333333333333
25,2015,64.6,Alabama,61.36,AL,False,None,194.0,0.5965,44.39,3.0700000000000003
26,2016,65.3,Alabama,45.01,AL,False,None,189.58333333333331,0.5505,38.29,3.0966666666666662
27,2017,65.0,Alabama,64.19,AL,False,None,195.8166666666667,0.462166667,48.05,3.4933333333333336
28,2018,64.5,Alabama,64.4,AL,False,None,199.59166666666667,0.4115,61.4,3.523333333333333
29,2019,65.4,Alabama,56.3,AL,False,None,199.825,0.37725,55.59,2.803333333333333
30,2020,64.9,Alabama,68.67,AL,False,None,188.9416666666667,,36.86,2.2416666666666667
31,1990,59.7,Arizona,14.08,AZ,True,1996,,8.805156382,20.03,
32,1991,59.2,Arizona,12.91,AZ,True,1996,,7.95646661,16.54,
33,1992,59.6,Arizona,18.15,AZ,True,1996,,7.21386306,15.99,
34,1993,59.8,Arizona,16.77,AZ,True,1996,,7.107776839,14.25,
35,1994,60.6,Arizona,12.45,AZ,True,1996,,6.365173288,13.19,
36,1995,61.0,Arizona,11.44,AZ,True,1996,,5.834742181,14.62,
